IDADE	FAIXAETARIA	MES	SEXO	COMPCAB	LARGCAB	PESC	COMPCOR	PEITO	PESO
8	1	8	1	9	4,5	13	37	19	34
8	1	8	2	10	4,5	10	43,5	24	29
9	1	9	2	9	4,5	12	36	19	26
9	1	9	1	10	4	13	40	23	40
9	1	9	1	10	4	13,5	43	23	46
10	1	10	1	9,5	4,5	16	40	26	65
10	1	10	1	11	5	17	49	29	94
10	1	10	1	11,5	5	17	47	29,5	86
11	2	11	1	11,5	6	16,5	48	31	79
11	2	11	2	9	5	15	46	27	62
16	2	4	1	10	4	15,5	48	26	60
16	2	4	1	10	5	15	41	26	64
17	2	5	1	11,5	5	17	53	30,5	114
17	2	5	2	11,5	5	15	52,5	28	76
17	2	5	2	11	4,5	13	46	23	48
18	2	6	1	12,5	8,5	18	57,3	32,8	140
19	2	7	1	11	5,5	16	53	26	80
20	2	8	2	11,5	5	17,5	52	29	105
21	3	9		13	6	19	59	30	120
21	3	9	1	13	5	17	54	28	90
21	3	9	1	14,5	5,5	20	61	34	150
23	3	11	1	12	6,5	19	50	38	148
32	3	8	1	14	5	21,5	67	37	180
32	3	8	1	13	8	21,5	59	33	166
33	3	9	1	13,5	6	22	66,5	34	154
34	3	10	1	13	7	21	59	35	150
34	3	10	1	16,5	6,5	27	72	44,5	270
34	3	10	1	14	5,5	24	65	39	202
35	3	11	1	13,5	8,5	23	63,5	44	212
44	4	8	2	12,5	4,5	10,5	63	32	140
45	4	9	1	13,5	7	24	64	39	204
45	4	9	1	16	6	24	63	42	220
45	4	9	2	13	6,5	21	60	34,5	182
51	4	4	1	13,5	8	27	68,5	49	360
53	4	5	2	12,5	6	18	58	31	144
55	4	7	1	16,5	9	28	67,5	45	344
56	4	7	1	15	7,5	26,5	73,5	41	262
57	4	9	2	13,5	7	20	64	38	204
57	4	9	2	12,5	5	19	57,5	32	125
57	4	9	2	13	5,5	17,5	60,5	31	116
58	4	10	2	13,5	6,5	21,5	63	40	202
58	4	10	1	15,5	7	28	70,5	50	365
68	6	8	1	16	9	29	73	44	332
70	6	10	2	14,5	6,5	26	65	48	316
70	6	10	1	15,5	7	28	76,5	55	446
81	6	9	1	15,5	8	31	72	54	416
81	6	9	2	13	5	20	61	33	132
82	6	10	2	13,5	6,5	28	64	48	356
83	6	11	2	14,5	7	23	61,5	44	236
83	6	11	1	15,5	8	30,5	75	54	514
100	6	4	2	13	7	21	70	41	220
104	6	8	2	15,5	6,5	22	62	35	166
115	6	7	1	17	10	31,5	72	49	348
177	6	9	1	16	9,5	30	72	48	436
